dealt,desired,first_to_play,dealer,wild_suit,player0desired,player1desired,player2desired,player3desired,result,hand1,hand2,hand3,hand4,hand5,hand6,hand7,hand8,hand9,deciding_player
1,0,3,2,3,-1,-1,-1,1,1,4,44,44,44,44,44,44,44,44,0
1,0,3,2,3,0,0,-1,1,1,3,44,44,44,44,44,44,44,44,2
2,0,1,3,3,-1,-1,-1,-1,1,6,15,44,44,44,44,44,44,44,1
3,1,2,0,1,-1,-1,0,2,1,31,16,13,44,44,44,44,44,44,0
3,2,2,0,1,1,-1,0,2,1,21,27,34,44,44,44,44,44,44,1
3,0,2,0,1,-1,-1,-1,-1,1,2,29,10,44,44,44,44,44,44,2
5,0,1,2,3,-1,-1,-1,-1,1,9,19,28,26,7,44,44,44,44,1
6,0,0,3,2,-1,-1,-1,-1,1,21,19,14,7,4,11,44,44,44,0
6,0,0,3,2,0,1,-1,-1,1,31,27,0,1,5,17,44,44,44,2
7,1,3,0,1,0,-1,-1,3,1,2,22,11,4,24,1,23,44,44,1
9,0,1,2,1,-1,2,1,0,1,29,13,14,12,8,17,5,18,2,0
9,1,1,3,1,-1,-1,-1,-1,1,21,25,27,12,3,1,24,10,5,1
9,1,0,0,1,-1,-1,-1,-1,1,12,17,2,34,32,9,13,10,0,0
9,3,2,1,1,-1,-1,6,8,1,14,25,31,16,30,2,34,34,26,0
9,1,2,1,1,3,-1,6,8,1,18,28,20,6,23,4,1,8,3,1
7,2,3,3,0,1,-1,-1,3,1,34,31,20,32,26,0,14,44,44,1
5,0,0,1,2,-1,-1,-1,-1,1,5,14,27,31,15,44,44,44,44,0
5,0,0,1,2,0,0,-1,-1,1,9,11,22,6,13,44,44,44,44,2
3,0,3,3,1,1,-1,-1,2,1,5,2,24,44,44,44,44,44,44,1
2,0,0,0,2,-1,-1,-1,-1,1,2,26,44,44,44,44,44,44,44,0
1,0,1,1,3,-1,1,1,1,1,9,44,44,44,44,44,44,44,44,0
1,1,1,1,3,-1,-1,-1,-1,1,33,44,44,44,44,44,44,44,44,1
9,2,1,2,3,-1,2,4,0,1,9,27,6,31,20,32,4,29,21,0
9,1,3,3,3,-1,-1,-1,3,1,18,30,16,11,24,29,23,6,0,0
9,0,3,3,3,1,2,-1,3,1,12,10,1,19,31,4,15,25,7,2
9,1,3,1,3,1,-1,-1,8,1,2,32,8,3,13,1,24,11,29,1
1,0,2,1,1,-1,-1,0,0,1,1,44,44,44,44,44,44,44,44,0
1,0,2,1,1,0,-1,0,0,1,26,44,44,44,44,44,44,44,44,1
1,0,2,1,1,-1,-1,0,-1,1,14,44,44,44,44,44,44,44,44,3
2,0,2,2,2,1,-1,0,1,1,16,22,44,44,44,44,44,44,44,1
2,0,2,2,2,-1,-1,-1,-1,1,25,6,44,44,44,44,44,44,44,2
3,0,0,3,3,1,1,-1,-1,1,20,30,9,44,44,44,44,44,44,2
4,0,1,0,3,-1,0,1,2,1,8,9,34,23,44,44,44,44,44,0
4,0,1,0,3,-1,-1,-1,-1,1,2,12,7,11,44,44,44,44,44,1
4,1,1,0,3,-1,0,-1,-1,1,28,22,3,14,44,44,44,44,44,2
5,1,3,1,2,-1,-1,-1,2,1,33,34,22,14,12,44,44,44,44,0
